X,Y,Z
-0.717974,-2.875260,-7.504978
-0.728228,-2.917753,-7.493817
-0.749176,-3.004559,-7.471867
-0.759869,-3.048872,-7.461078
-0.770433,-3.092797,-7.449778
-0.791488,-3.180424,-7.427111
-0.812456,-3.267782,-7.404799
-0.833345,-3.354826,-7.382570
-0.854165,-3.441602,-7.360363
-0.875044,-3.528444,-7.338956
-0.895991,-3.615360,-7.318174
-0.917122,-3.702666,-7.298802
-0.938467,-3.790437,-7.280729
-0.960162,-3.878992,-7.263347
-0.982273,-3.968472,-7.245552
-1.004788,-4.058805,-7.228080
-1.027818,-4.150126,-7.213725
-1.051220,-4.242035,-7.201850
-1.074963,-4.334266,-7.191404
-1.098923,-4.426316,-7.182811
-1.122898,-4.517748,-7.177107
-1.146786,-4.608385,-7.175981
-1.170458,-4.697850,-7.179957
-1.193856,-4.786097,-7.187249
-1.217035,-4.873430,-7.196877
-1.228575,-4.916888,-7.202343
-1.240041,-4.959997,-7.208886
-1.262937,-5.045943,-7.221803
-1.285861,-5.131501,-7.234994
-1.308997,-5.216965,-7.249064
-1.332523,-5.302560,-7.263811
-1.356652,-5.388438,-7.278675
-1.381633,-5.474706,-7.290977
-1.407761,-5.561407,-7.299015
-1.435363,-5.648493,-7.304871
-1.464914,-5.735802,-7.308860
-1.496809,-5.823059,-7.307022
-1.531265,-5.909939,-7.300705
-1.568493,-5.996146,-7.297163
-1.608620,-6.081423,-7.297915
-1.651689,-6.165549,-7.299328
-1.697666,-6.248349,-7.297376
-1.746446,-6.329700,-7.291858
-1.797875,-6.409537,-7.285940
-1.851966,-6.487692,-7.280657
-1.908606,-6.564090,-7.275281
-1.967416,-6.638869,-7.270700
-1.997320,-6.675874,-7.268923
-2.028135,-6.712136,-7.269175
-2.090607,-6.783942,-7.269659
-2.154733,-6.854299,-7.270156
-2.220556,-6.923089,-7.270761
-2.287889,-6.990413,-7.271609
-2.356455,-7.056481,-7.272638
-2.426208,-7.121299,-7.273575
-2.497128,-7.184849,-7.274320
-2.569358,-7.246911,-7.274879
-2.642899,-7.307415,-7.275287
-2.717625,-7.366448,-7.275586
-2.793582,-7.423884,-7.275795
-2.870825,-7.479574,-7.275932
-2.949416,-7.533343,-7.276014
-3.029419,-7.584992,-7.276057
-3.110982,-7.634143,-7.276074
-3.194123,-7.680576,-7.276080
-3.278733,-7.724255,-7.276082
-3.364772,-7.765034,-7.276082
-3.452152,-7.802849,-7.276082
-3.540750,-7.837721,-7.276082
-3.585335,-7.854430,-7.276082
-3.630418,-7.869753,-7.276082
-3.721015,-7.899078,-7.276082
-3.812483,-7.925571,-7.276082
-3.904665,-7.949478,-7.276082
-3.997349,-7.971344,-7.276083
-4.090449,-7.991383,-7.276083
-4.183936,-8.009532,-7.276083
-4.277760,-8.025848,-7.276084
-4.371815,-8.040771,-7.276084
-4.466053,-8.054506,-7.276085
-4.560485,-8.066873,-7.276086
-4.655064,-8.078074,-7.276088
-4.749732,-8.088477,-7.276090
-4.844505,-8.097857,-7.276093
-4.939364,-8.106336,-7.276097
-5.034275,-8.114213,-7.276102
-5.129248,-8.121297,-7.277903
-5.224271,-8.127680,-7.284774
-5.319325,-8.133553,-7.297744
-5.414417,-8.138763,-7.315884
-5.509540,-8.143393,-7.338226
-5.557106,-8.145606,-7.350324
-5.604685,-8.147548,-7.363765
-5.699857,-8.151083,-7.391479
-5.795050,-8.154055,-7.420644
-5.890256,-8.156539,-7.450772
-5.985478,-8.158356,-7.481225
-6.080710,-8.159511,-7.511237
-6.175944,-8.160116,-7.540008
-6.271180,-8.159956,-7.566767
-6.366411,-8.158922,-7.590701
-6.461629,-8.157090,-7.610914
-6.556833,-8.154394,-7.626479
-6.652000,-8.150589,-7.636412
-6.747099,-8.145458,-7.640213
-6.842113,-8.138962,-7.640530
-6.937010,-8.130987,-7.640357
-7.031748,-8.121336,-7.640011
-7.126266,-8.109798,-7.639382
-7.220491,-8.096153,-7.638305
-7.314333,-8.080189,-7.636551
-7.407677,-8.061710,-7.633811
-7.500388,-8.040577,-7.629681
-7.546567,-8.029331,-7.627212
-7.592312,-8.016722,-7.623659
-7.683279,-7.990197,-7.615143
-7.773070,-7.961142,-7.603340
-7.861422,-7.929832,-7.587359
-7.948200,-7.896808,-7.566882
-8.033391,-7.862630,-7.542071
-8.116941,-7.827683,-7.513048
-8.198982,-7.792294,-7.480360
-8.279902,-7.756694,-7.445093
-8.360145,-7.720963,-7.408351
-8.440223,-7.685031,-7.371343
-8.520734,-7.648732,-7.335578
-8.602224,-7.611859,-7.302691
-8.685068,-7.574236,-7.274318
-8.769484,-7.535731,-7.252635
-8.855239,-7.496430,-7.239178
-8.941677,-7.456636,-7.234267
-9.028084,-7.416676,-7.238206
-9.113729,-7.376885,-7.250896
-9.198155,-7.337498,-7.270981
-9.281266,-7.298588,-7.296671
-9.322493,-7.279254,-7.310744
-9.363174,-7.260122,-7.326530
-9.444181,-7.221981,-7.359097
-9.524709,-7.184005,-7.392957
-9.605200,-7.146050,-7.426841
-9.686030,-7.108028,-7.459750
-9.767490,-7.069916,-7.490879
-9.849802,-7.031751,-7.519545
-9.933104,-6.993636,-7.545199
-10.017479,-6.955737,-7.567399
-10.102961,-6.918297,-7.585811
-10.189474,-6.881565,-7.600541
-10.276878,-6.845766,-7.612022
-10.365076,-6.811109,-7.620698
-10.453976,-6.777734,-7.627055
-10.543497,-6.745705,-7.631508
-10.633562,-6.715015,-7.634378
-10.724093,-6.685606,-7.635894
-10.815020,-6.657388,-7.636206
-10.906273,-6.630250,-7.635398
-10.997790,-6.604075,-7.633507
-11.089516,-6.578743,-7.630532
-11.135424,-6.566274,-7.628772
-11.181403,-6.554197,-7.626303
-11.273388,-6.530309,-7.620705
-11.365396,-6.506892,-7.613742
-11.457369,-6.483837,-7.605328
-11.549253,-6.461055,-7.595374
-11.640961,-6.438472,-7.583539
-11.732402,-6.416005,-7.569601
-11.823540,-6.393584,-7.553764
-11.914362,-6.371182,-7.536191
-12.004801,-6.348780,-7.516719
-12.094795,-6.326366,-7.495271
-12.184401,-6.303951,-7.472228
-12.273674,-6.281544,-7.447914
-12.362581,-6.259171,-7.422233
-12.451177,-6.236867,-7.395408
-12.539602,-6.214656,-7.367929
-12.627913,-6.192573,-7.339964
-12.716227,-6.170705,-7.311803
-12.804671,-6.149095,-7.283834
-12.893312,-6.127740,-7.256273
-12.982384,-6.106826,-7.229753
-13.027079,-6.096520,-7.216894
-13.072020,-6.086441,-7.204740
-13.162154,-6.066517,-7.181171
-13.253016,-6.047297,-7.159913
-13.344672,-6.028926,-7.141485
-13.436913,-6.011269,-7.125444
-13.529803,-5.994529,-7.112431
-13.623313,-5.978888,-7.102959
-13.717214,-5.964163,-7.096355
-13.811443,-5.950488,-7.092935
-13.905908,-5.938045,-7.093091
-14.000455,-5.926580,-7.095959
-14.094992,-5.916233,-7.101767
-14.189416,-5.907117,-7.110629
-14.283705,-5.898875,-7.121523
-14.377766,-5.891788,-7.134877
-14.471567,-5.885844,-7.150450
-14.565172,-5.880693,-7.167373
-14.658529,-5.876609,-7.185855
-14.751698,-5.873421,-7.205117
-14.844732,-5.871080,-7.223588
-14.937662,-5.869699,-7.240269
-14.984118,-5.869202,-7.248101
-15.030560,-5.868997,-7.255102
-15.123480,-5.869197,-7.268211
-15.216472,-5.870248,-7.279766
